,,description,screen_name,name,location,created_at,retweeted_count,profile_image_url,text,allies
201,L,Making the public aware of the incompetence of TfL and injustice to The London Taxi Trade,londontaxitrade,London Taxi Trade,"London, England",Thu Jan 29 16:10:00 +0000 2015,266,http://pbs.twimg.com/profile_images/729449492710367237/wV4Ab6r5_normal.jpg,"#DavidBeckham stick to football and being a nice guy
let @victoriabeckham do the voting #VoteLeave https://t.co/rfATfidffK","['atomicparadise', 'MrBumpa', 'LeaveJune23', 'Charlton_UKIP', 'LaughAtTheLeft', 'londontaxitrade', 'LouiseMensch', 'angelneptustar', 'BrexitNoww', 'DVATW', 'WestminsterMole', 'DanburyPark', 'taximassive', 'Lionsanddonkeys', 'SarahAFC69', 'MarcherLord1', 'ukleave_eu', 'Dwalingen', 'neilflynn61', 'RMT_LondonTaxi', 'TheoPaphitis', 'NoThankEU2016', 'LBC']"
202,L,For all social media enquiries contact: E:darren@dmpronline.co.uk,DarrenMole,DarrenMole,Romford-Essex,Sat Oct 15 23:41:50 +0000 2011,266,http://pbs.twimg.com/profile_images/744498989622501376/aKS48v3P_normal.jpg,"#Remain interrupt &amp; attack #VoteLeave at every opportunity, its embarrassing &amp; childish  
#BBCDebate #EUref","['boxingbooth', 'DVATW', 'DarrenMole']"
203,N,38 Degrees brings you together with people across the UK to take action on the issues that matter to you - and bring about real change.,38_degrees,38 Degrees,Millions across the UK,Thu Mar 05 09:50:51 +0000 2009,263,http://pbs.twimg.com/profile_images/1346748555/38Degrees_Logo_orange_400_normal.png,TRUE or FALSE: the EU keeps us safe from terrorism? #BBCDebate #EUref https://t.co/6TBADVwLy6,['aecave']
204,L,,WritingSupplier,Anne The Writer,"England, United Kingdom",Sun Mar 06 20:27:57 +0000 2016,262,http://pbs.twimg.com/profile_images/714037854549241856/kqEqWebC_normal.jpg,"Groups of experienced Economists KNOW we'll be better off making great deals after we LEAVE
https://t.co/NOmCPeKYT7 https://t.co/lOQXyNHkXb",[]
205,L,"Father, UK Member of Parliament, proud #Crawley resident and vexillologist.",HenrySmithMP,Henry Smith MP,West Sussex - Westminster  ,Thu Oct 11 15:27:59 +0000 2012,262,http://pbs.twimg.com/profile_images/736947043122319362/l75PoKI5_normal.jpg,Plans for an EU military and further taxation are being kept back until after Thursday - #VoteLeave #TakeControl https://t.co/QqsTvMXN1V,"['vote_leave', 'beleaveuk', 'Vote_LeaveMedia', 'DanHannanMEP', 'SteveBakerHW']"
206,L,Cross-party campaign dedicated to explaining why the UK would be better off outside the EU. A campaign run by @tfa4freedom.,BetterOffOut,Better Off Out,London,Sun Nov 28 14:05:49 +0000 2010,261,http://pbs.twimg.com/profile_images/1815377919/BOO_logo2_normal.png,#VoteLeave to benefit from a world of opportunity: https://t.co/ji6oGZOohA via @telegraph #EUref #Brexit #BetterOffOut #GlobalBritain,"['andrew_allison', 'tfa4freedom', 'rorybroomfield', 'vote_leave', 'simplysimontfa', 'TheLadBible', 'adamhamdy', 'pokeefe1', 'SteveBakerHW', 'LeaveEUOfficial', 'Mike_Fabricant']"
207,L,"Part Pittite, part Gladstonian Liberal, very Thatcherite. Reads Hansard under the bedcovers & has a Google alert on Margaret Thatcher. @ConWayFor. @Vote_Leave.",TheaDickinson,Theodora Dickinson,"East, England",Sun Feb 22 11:54:58 +0000 2009,261,http://pbs.twimg.com/profile_images/744654048112979968/6qPgkufB_normal.jpg,Big manufacturers like JCB and Dyson both say we’d be better after we #VoteLeave and #TakeBackControl #bbcdebate https://t.co/zWScqGR5I9,"['murrisonMP', 'vote_leave', 'beleaveuk', 'AMMorrisMP', 'LiamFoxMP', 'CllrChrisAdams', 'Vote_LeaveMedia', 'dobbs_michael', 'andrealeadsom', 'DianeJamesMEP', 'SteveBakerHW', 'Aussies4Britain', 'rorybroomfield', 'BBCNews', '_hanimustafa', 'cmackinlay', 'AmandeepBhogal', 'consforbritain', 'lawyers4britain', 'MitchellGoldie', 'TellRanil', 'ScotsVoteLeave', 'avemariarebecca', 'TheSun', 'suttonnick']"
208,L,I'm a guy who knows blood was spilled to maintain our democracy & sovereignty  Love my country and Queen UK to vote #Brexit on June 23 #BetterOffOut,Trev_Forrester,Leave the EU,England,Mon May 13 21:19:06 +0000 2013,255,http://pbs.twimg.com/profile_images/716978601170747392/968-5DIS_normal.jpg,What more can we say to the sensible truly informed people that want their country back #Brexit @willowbrookwolf https://t.co/ly1k1aDf1o,"['buckineer', 'jamescurtis8153', 'CSLmar13']"
209,N,"The international organization for public private cooperation. Follow us for research, insight and analysis on global issues. Annual Meeting hashtag: #wef",wef,World Economic Forum,"Geneva, Switzerland",Wed Apr 18 14:00:19 +0000 2007,254,http://pbs.twimg.com/profile_images/565498192171507712/r2Hb2gvX_normal.png,"Economic suicide? Maybe, but this is why some Brits are voting ‘Leave’ @amonck https://t.co/uHUzD3eunz #Brexit https://t.co/2IWC3bHtM9",[]
210,L,We strive to present the facts behind the stories so that you can make up your own mind.,VisionPolitics,VisionPolitics,UK,Sun Jun 05 16:58:44 +0000 2016,254,http://pbs.twimg.com/profile_images/739518559357947904/d3ium2wz_normal.jpg,"If we vote to #Leave #EU, How should we spend the extra Â£10,000 million each year? https://t.co/IXpzOZls13 #EUref https://t.co/twGgAaJLfS",[]
